,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
401,HK_FUTURE.999010,17/3/2020 0:00,22686,23019,23390,21588,0,0,212530,4753317917,1.298186939,22724
402,HK_FUTURE.999010,18/3/2020 0:00,22932,22006,23417,22000,0,0,229458,5148595845,-4.400712455,23019
403,HK_FUTURE.999010,19/3/2020 0:00,22003,21841,22366,20965,0,0,266530,5676091465,-0.74979551,22006
404,HK_FUTURE.999010,20/3/2020 0:00,21765,23057,23105,21492,0,0,230167,5013395429,5.567510645,21841
405,HK_FUTURE.999010,23/3/2020 0:00,23093,21496,23196,21296,0,0,216081,4686506659,-6.770178254,23057
406,HK_FUTURE.999010,24/3/2020 0:00,21497,22728,22788,21497,0,0,233323,5067998965,5.731298846,21496
407,HK_FUTURE.999010,25/3/2020 0:00,22773,23618,23638,22773,0,0,235665,5024180644,3.915874692,22728
408,HK_FUTURE.999010,26/3/2020 0:00,23646,23180,23879,23096,0,0,240708,5116362394,-1.854517741,23618
409,HK_FUTURE.999010,27/3/2020 0:00,23128,23502,24048,23128,0,0,183871,4178846740,1.389128559,23180
410,HK_FUTURE.999010,30/3/2020 0:00,23405,23232,23432,22797,0,0,43594,1000506302,-1.148838397,23502
411,HK_FUTURE.999010,31/3/2020 0:00,23024,23720,23750,22917,0,0,148607,3431173718,2.100550964,23232
412,HK_FUTURE.999010,1/4/2020 0:00,23698,22930,23730,22886,0,0,176599,4028742896,-3.330522766,23720
413,HK_FUTURE.999010,2/4/2020 0:00,23000,23269,23280,22561,0,0,160569,3645887813,1.47841256,22930
414,HK_FUTURE.999010,3/4/2020 0:00,23241,23196,23280,22908,0,0,133036,3059667221,-0.31372212,23269
415,HK_FUTURE.999010,6/4/2020 0:00,23173,23740,23865,22970,0,0,151150,3528814084,2.345231937,23196
416,HK_FUTURE.999010,7/4/2020 0:00,23750,24423,24439,23686,0,0,159253,3762237786,2.877000842,23740
417,HK_FUTURE.999010,8/4/2020 0:00,24370,23764,24606,23764,0,0,154221,3687004578,-2.698276215,24423
418,HK_FUTURE.999010,9/4/2020 0:00,23781,24209,24343,23767,0,0,132724,3187597244,1.872580374,23764
419,HK_FUTURE.999010,14/4/2020 0:00,24183,24408,24598,23959,0,0,137943,3322244453,0.822008344,24209
420,HK_FUTURE.999010,15/4/2020 0:00,24419,24052,24610,24022,0,0,123649,2993175643,-1.458538184,24408
421,HK_FUTURE.999010,16/4/2020 0:00,24021,23948,24124,23793,0,0,124873,2980006282,-0.432396474,24052
422,HK_FUTURE.999010,17/4/2020 0:00,23948,24359,24689,23827,0,0,137484,3342933586,1.716218473,23948
423,HK_FUTURE.999010,20/4/2020 0:00,24358,24280,24474,24176,0,0,123184,2969941295,-0.324315448,24359
424,HK_FUTURE.999010,21/4/2020 0:00,24306,23730,24343,23631,0,0,151707,3574212782,-2.26523888,24280
425,HK_FUTURE.999010,22/4/2020 0:00,23689,23869,23928,23418,0,0,140526,3284983665,0.585756426,23730
